Designator;Quantity;Value;Footprint;LCSC Part#
BTN0, ;1;RESET Button;TS-1109S-B-B;C480315
BTN1, ;1;Btn1;TS-1109S-B-B;C480315
BTN2, ;1;Btn2;TS-1109S-B-B;C480315
BTN3, ;1;BTN3;TS-1109S-B-B;C480315
C1, C2, ;2;10n;1206;C1846
C3, C4, C5, C6, ;4;10n;0603;C57112
C7, C10, ;2;10u;0603;C19702
C8, C9, ;2;0.1u;0603;C14663
C11, C12, C13, C24, ;4;12p;0402;C1547
C14, ;1;4u7;0402;C23733
C15, C16, C17, C18, C19, C31, ;6;100n;0402;ÿC1525
C20, C21, ;2;1u;0402;C52923
C22, C23, ;2;2.2u;0402;ÿC12530
C25, C26, ;2;20p;0402;ÿC1554
C27, C28, C29, C30, ;4;10u;0402;ÿC15525
D1, ;1;B5819W;SOD-123;C8598
D4, D11, LED1, ;3;BLUE;0603;ÿC72041
F1, ;1;300mA;0603;C207010
FB1, FB2, ;2;100 @ 100MHz;1206;C1023
J3;1;USB_B_MICRO;Connector_USB:USB_Micro-B_Molex-105017-0001;C145792
J6;1;SWD;Connector_PinSocket_1.27mm:PinSocket_2x05_P1.27mm_Vertical;C124387
LED2, LED4, ;2;RED;0603;C2286
LED3, LED5, PWR1, PWR2, PWR3, ;5;GREEN;0603;C72043
PS2, ;1;AMS1117-3.3;SOT-223-3;C6186
Q0, ;1;AO3401A;SOT-23;C15127
Q1, Q2, Q4, Q5, Q6, Q7, Q8, ;7;Q_NPN_BCE;SOT-23;ÿC2150
Q3, ;1;Q_PNP_BCE;SOT-23;ÿC8542
R1, R2, R3, R4, R7, R11, R15, R16, R17, R18, ;10;1k;0402;C11702
R5, R13, R14, R19, R20, ;5;10k;0402;C25744
R6, R8, R35, R36, ;4;1k;0603;C21190
9;1;47;0603;C23182
R10, R21, R22, R24, R26, R28, ;6;470;0603;C23179
12;1;47;0402;C25118
R23, R25, R27, R37, R38, ;5;33;0402;ÿC25105
R29, R30, R31, R32, ;4;22;0402;C25092
R33, R34, ;2;2k2;0402;ÿC25879
R39;1;120;0603;C22787
SW1, SW2, SW3, ;3;SW_SPDT;Button_Switch_SMD:SW_SPDT_PCM12;C319019
U1, ;1;STM32F427VITx;Package_QFP:LQFP-100_14x14mm_P0.5mm;C57097
U2, ;1;MAX485EESAT;Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm;C23492
U3, U6, U7, U9, U10, U11, ;6;USBLC6-2SC6;SOT-23-6;C7519
U4, U5, ;2;OPA1602;Package_SO:SOP-8_3.9x4.9mm_P1.27mm;C70884
U8, ;1;LM335ADT;Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm;C361027
X1, ;1; 25MHZ;Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm;C9006
